	model	pairid	expected	unexpected	diff	acc
0	distilbert-base-uncased	1	5.555994272232056	9.385694026947021	-3.829699754714966	True
1	distilbert-base-uncased	2	6.8444178104400635	7.467491388320923	-0.6230735778808594	True
2	distilbert-base-uncased	3	7.194796085357666	10.816997528076172	-3.622201442718506	True
3	distilbert-base-uncased	4	8.904919862747192	10.146475076675415	-1.2415552139282227	True
4	distilbert-base-uncased	5	3.998890148739156	9.27779192978196	-5.278901781042805	True
5	distilbert-base-uncased	6	4.284704872998555	7.872387639988301	-3.5876827669897464	True
10	distilbert/distilgpt2	1	5.19873046875	8.538512706756592	-3.339782238006592	True
11	distilbert/distilgpt2	2	9.787455081939697	10.009891748428345	-0.22243666648864746	True
12	distilbert/distilgpt2	3	3.3192479610443115	6.322406768798828	-3.0031588077545166	True
13	distilbert/distilgpt2	4	8.329837799072266	7.496592164039613	0.8332456350326529	False
14	distilbert/distilgpt2	5	5.290493829548359	8.684752082824707	-3.394258253276348	True
15	distilbert/distilgpt2	6	7.5957526683807375	11.637145006656647	-4.04139233827591	True
20	gpt2	1	5.315800428390503	8.379684448242188	-3.0638840198516846	True
21	gpt2	2	9.143254518508911	8.987967014312744	0.155287504196167	False
22	gpt2	3	3.90768826007843	7.351431846618652	-3.443743586540222	True
23	gpt2	4	8.00221061706543	8.07792353630066	-0.07571291923522949	True
24	gpt2	5	5.327278965711594	8.359451866149902	-3.032172900438308	True
25	gpt2	6	7.806687316298486	11.713217800855636	-3.90653048455715	True
